subid,grade,group,2015,2016
S1-02-03,first grade,CNTL,0,12
S1-02-08,first grade,CNTL,0,4
S1-02-17,first grade,CNTL,8,NA
S1-03-05,first grade,MA,4,16
S1-03-14,first grade,MA,3,8
S1-03-15,first grade,MA,0,4
S1-04-01,first grade,MA,0,13
S1-04-03,first grade,MA,3,10
S1-04-04,first grade,MA,3,6
S1-04-07,first grade,MA,1,4
S1-04-08,first grade,MA,3,6
S1-04-11,first grade,MA,2,5
S1-04-17,first grade,MA,4,8
S1-04-18,first grade,MA,2,12
S1-07-02,first grade,CNTL,3,15
S1-07-11,first grade,CNTL,2,7
S1-07-18,first grade,CNTL,1,5
S1-07-20,first grade,CNTL,4,8
S1-09-01,first grade,CNTL,3,4
S1-09-05,first grade,CNTL,2,5
S1-09-06,first grade,CNTL,3,9
S1-09-07,first grade,CNTL,3,8
S1-09-11,first grade,CNTL,3,9
S1-10-01,first grade,MA,0,6
S1-10-02,first grade,MA,1,9
S1-10-06,first grade,MA,0,13
S1-10-07,first grade,MA,2,12
S1-10-08,first grade,MA,3,13
S1-10-09,first grade,MA,3,10
S1-10-12,first grade,MA,3,10
S1-10-13,first grade,MA,3,12
S1-11-01,first grade,MA,3,9
S1-11-02,first grade,MA,4,13
S1-11-03,first grade,MA,2,3
S1-11-04,first grade,MA,3,5
S1-11-09,first grade,MA,3,6
S1-11-10,first grade,MA,1,6
S1-11-11,first grade,MA,0,5
S1-11-17,first grade,MA,1,4
S1-12-01,first grade,CNTL,1,14
S1-12-04,first grade,CNTL,0,4
S1-12-05,first grade,CNTL,2,5
S1-12-08,first grade,CNTL,1,2
S1-12-11,first grade,CNTL,1,6
S1-14-01,first grade,CNTL,2,9
S1-14-02,first grade,CNTL,2,4
S1-14-07,first grade,CNTL,2,12
S1-14-09,first grade,CNTL,3,12
S1-14-11,first grade,CNTL,1,16
S1-14-12,first grade,CNTL,9,22
S1-14-14,first grade,CNTL,3,11
S1-14-15,first grade,CNTL,4,13
S1-14-17,first grade,CNTL,1,11
S1-15-01,first grade,MA,0,4
S1-15-02,first grade,MA,2,6
S1-15-04,first grade,MA,2,4
S1-15-05,first grade,MA,1,5
S1-15-08,first grade,MA,4,17
S1-15-09,first grade,MA,4,13
S1-15-10,first grade,MA,3,12
S1-15-11,first grade,MA,2,13
S2-03-01,second grade,MA,4,9
S2-03-02,second grade,MA,6,11
S2-03-03,second grade,MA,12,17
S2-03-04,second grade,MA,5,7
S2-03-13,second grade,MA,4,9
S2-04-01,second grade,MA,12,29
S2-04-05,second grade,MA,6,13
S2-04-07,second grade,MA,5,15
S2-04-08,second grade,MA,13,17
S2-04-09,second grade,MA,4,16
S2-04-10,second grade,MA,9,16
S2-04-11,second grade,MA,13,18
S2-04-12,second grade,MA,7,10
S2-04-16,second grade,MA,10,14
S2-04-17,second grade,MA,13,26
S2-04-18,second grade,MA,10,20
S2-05-02,second grade,MA,3,6
S2-08-01,second grade,CNTL,8,12
S2-08-03,second grade,CNTL,4,9
S2-09-05,second grade,CNTL,5,12
S2-09-07,second grade,CNTL,4,10
S2-09-08,second grade,CNTL,4,9
S2-09-10,second grade,CNTL,8,20
S2-09-13,second grade,CNTL,14,17
S2-09-19,second grade,CNTL,5,20
S2-09-20,second grade,CNTL,10,24
S2-10-02,second grade,CNTL,0,25
S2-10-03,second grade,CNTL,5,17
S2-10-05,second grade,CNTL,4,6
S2-10-10,second grade,CNTL,4,15
S2-10-11,second grade,CNTL,0,14
S2-10-13,second grade,CNTL,4,15
S2-10-14,second grade,CNTL,11,9
S2-10-15,second grade,CNTL,5,10
S2-10-18,second grade,CNTL,4,13
S2-10-20,second grade,CNTL,8,11
S2-13-01,second grade,CNTL,11,19
S2-13-02,second grade,CNTL,10,24
S2-13-04,second grade,CNTL,9,18
S2-13-05,second grade,CNTL,8,14
S2-13-06,second grade,CNTL,4,19
S2-13-09,second grade,CNTL,7,6
S2-13-12,second grade,CNTL,8,9
S2-13-15,second grade,CNTL,10,18
S2-13-18,second grade,CNTL,4,6
S2-13-19,second grade,CNTL,5,14
S2-13-20,second grade,CNTL,12,15
S2-13-21,second grade,CNTL,6,10
S2-16-01,second grade,MA,14,13
S2-16-05,second grade,MA,12,16
S2-16-08,second grade,MA,7,9
S2-16-09,second grade,MA,6,14
S2-16-11,second grade,MA,4,9
S2-16-14,second grade,MA,5,9
S2-16-15,second grade,MA,8,15
S2-16-17,second grade,MA,3,9
S2-16-18,second grade,MA,4,7
S2-16-19,second grade,MA,16,19
S2-16-20,second grade,MA,4,10
S2-17-02,second grade,MA,11,16
S2-17-03,second grade,MA,6,12
S2-17-04,second grade,MA,8,12
S2-17-05,second grade,MA,4,9
S2-17-06,second grade,MA,8,14
S2-17-07,second grade,MA,5,21
S2-17-08,second grade,MA,3,16
S2-17-09,second grade,MA,8,17
S2-17-10,second grade,MA,10,15
S2-17-11,second grade,MA,4,19
S2-17-12,second grade,MA,8,12
S2-17-13,second grade,MA,5,12
S2-17-14,second grade,MA,5,7
S2-17-15,second grade,MA,14,18
S2-17-16,second grade,MA,4,13
S2-17-17,second grade,MA,5,16
S2-17-19,second grade,MA,8,15
S2-18-01,second grade,MA,6,17
S2-18-02,second grade,MA,12,16
S2-18-06,second grade,MA,2,4
S2-18-07,second grade,MA,0,5
S2-18-09,second grade,MA,4,7
S2-18-10,second grade,MA,4,8
S2-18-11,second grade,MA,5,10
S2-18-12,second grade,MA,6,21
S2-18-13,second grade,MA,7,20
S2-18-15,second grade,MA,14,19
S2-18-16,second grade,MA,6,6
S2-18-17,second grade,MA,8,11
S2-18-19,second grade,MA,11,14
S2-18-20,second grade,MA,7,13
S2-19-01,second grade,CNTL,3,14
S2-19-03,second grade,CNTL,4,6
S2-19-04,second grade,CNTL,1,12
S2-19-05,second grade,CNTL,5,3
S2-19-06,second grade,CNTL,4,9
S2-19-07,second grade,CNTL,6,8
S2-19-08,second grade,CNTL,14,17
S2-19-09,second grade,CNTL,5,11
S2-19-11,second grade,CNTL,4,8
S2-19-12,second grade,CNTL,3,15
S2-19-13,second grade,CNTL,14,24
S2-19-14,second grade,CNTL,6,7
S2-19-18,second grade,CNTL,4,12
