subj,item,prime.condition,boost.condition,response,simulation
30,24,PO,different verb,PO,simulation: 1
43,27,DO,different verb,DO,simulation: 1
30,26,DO,same verb,PO,simulation: 1
5,16,PO,same verb,PO,simulation: 1
44,9,PO,different verb,PO,simulation: 1
51,8,DO,same verb,DO,simulation: 1
7,24,PO,same verb,PO,simulation: 1
30,11,PO,different verb,PO,simulation: 1
38,12,DO,different verb,PO,simulation: 1
13,5,PO,same verb,PO,simulation: 1
33,22,DO,same verb,DO,simulation: 1
12,26,DO,different verb,PO,simulation: 1
8,11,PO,different verb,PO,simulation: 1
39,11,PO,same verb,PO,simulation: 1
45,18,PO,different verb,DO,simulation: 1
52,30,PO,same verb,DO,simulation: 1
25,19,PO,same verb,PO,simulation: 1
34,25,DO,different verb,PO,simulation: 1
9,20,DO,same verb,DO,simulation: 1
52,25,DO,same verb,PO,simulation: 1
46,32,DO,same verb,DO,simulation: 1
27,16,DO,different verb,DO,simulation: 1
26,8,PO,same verb,DO,simulation: 1
52,11,DO,same verb,DO,simulation: 1
12,16,PO,different verb,PO,simulation: 1
7,29,DO,same verb,DO,simulation: 1
39,5,PO,same verb,PO,simulation: 1
54,10,DO,different verb,PO,simulation: 1
44,29,PO,different verb,DO,simulation: 1
49,8,DO,same verb,DO,simulation: 1
34,3,DO,different verb,PO,simulation: 1
16,4,PO,different verb,DO,simulation: 1
23,15,DO,different verb,DO,simulation: 1
30,2,PO,different verb,DO,simulation: 1
41,24,DO,different verb,PO,simulation: 1
34,19,DO,different verb,PO,simulation: 1
30,32,PO,same verb,PO,simulation: 1
30,6,DO,different verb,PO,simulation: 1
36,27,DO,different verb,PO,simulation: 1
14,32,PO,same verb,DO,simulation: 1
50,1,PO,different verb,PO,simulation: 1
2,9,PO,different verb,PO,simulation: 1
39,1,DO,same verb,PO,simulation: 1
25,13,PO,different verb,PO,simulation: 1
4,11,PO,different verb,DO,simulation: 1
38,24,PO,same verb,PO,simulation: 1
4,16,PO,different verb,PO,simulation: 1
42,8,DO,different verb,PO,simulation: 1
18,23,PO,same verb,PO,simulation: 1
43,12,PO,same verb,PO,simulation: 1
12,28,DO,different verb,DO,simulation: 1
9,14,PO,same verb,DO,simulation: 1
12,3,PO,same verb,PO,simulation: 1
26,25,DO,same verb,PO,simulation: 1
48,26,PO,different verb,PO,simulation: 1
20,8,DO,different verb,DO,simulation: 1
46,16,PO,different verb,PO,simulation: 1
2,21,DO,different verb,PO,simulation: 1
14,26,DO,different verb,PO,simulation: 1
14,3,PO,different verb,PO,simulation: 1
17,8,PO,different verb,DO,simulation: 1
12,5,DO,different verb,PO,simulation: 1
21,27,DO,same verb,PO,simulation: 1
37,22,DO,same verb,DO,simulation: 1
35,25,PO,different verb,PO,simulation: 1
49,10,PO,different verb,PO,simulation: 1
18,24,PO,same verb,DO,simulation: 1
6,6,PO,same verb,PO,simulation: 1
3,8,DO,same verb,DO,simulation: 1
46,9,PO,different verb,DO,simulation: 1
50,2,DO,different verb,DO,simulation: 1
26,2,DO,same verb,DO,simulation: 1
14,15,PO,different verb,PO,simulation: 1
36,7,PO,same verb,PO,simulation: 1
53,18,PO,same verb,DO,simulation: 1
48,14,DO,different verb,PO,simulation: 1
36,13,DO,different verb,PO,simulation: 1
23,27,DO,different verb,PO,simulation: 1
23,32,PO,same verb,DO,simulation: 1
37,24,DO,same verb,DO,simulation: 1
43,20,DO,different verb,PO,simulation: 1
52,1,PO,different verb,DO,simulation: 1
52,19,DO,same verb,DO,simulation: 1
41,12,DO,different verb,PO,simulation: 1
33,26,DO,same verb,PO,simulation: 1
46,17,PO,different verb,DO,simulation: 1
35,7,DO,different verb,PO,simulation: 1
25,8,DO,different verb,DO,simulation: 1
33,18,DO,same verb,DO,simulation: 1
8,5,DO,different verb,PO,simulation: 1
34,15,DO,same verb,DO,simulation: 1
2,23,PO,same verb,PO,simulation: 1
53,10,DO,different verb,PO,simulation: 1
5,28,DO,same verb,DO,simulation: 1
16,5,DO,same verb,DO,simulation: 1
2,10,DO,different verb,PO,simulation: 1
27,3,PO,different verb,PO,simulation: 1
20,25,DO,different verb,PO,simulation: 1
4,28,PO,same verb,DO,simulation: 1
42,7,PO,different verb,DO,simulation: 1
23,1,PO,same verb,DO,simulation: 1
10,12,DO,different verb,PO,simulation: 1
46,22,PO,same verb,PO,simulation: 1
34,16,DO,same verb,DO,simulation: 1
40,22,DO,same verb,PO,simulation: 1
24,22,DO,different verb,DO,simulation: 1
3,22,PO,same verb,PO,simulation: 1
40,5,PO,different verb,DO,simulation: 1
4,15,DO,same verb,PO,simulation: 1
32,18,DO,different verb,DO,simulation: 1
7,18,PO,same verb,DO,simulation: 1
23,20,PO,different verb,PO,simulation: 1
45,32,DO,same verb,DO,simulation: 1
51,27,PO,same verb,PO,simulation: 1
17,31,PO,different verb,DO,simulation: 1
30,25,PO,different verb,PO,simulation: 1
39,20,PO,different verb,PO,simulation: 1
7,16,DO,same verb,PO,simulation: 1
40,10,PO,same verb,PO,simulation: 1
24,29,PO,different verb,DO,simulation: 1
19,4,DO,different verb,PO,simulation: 1
8,29,PO,different verb,DO,simulation: 1
39,3,PO,same verb,PO,simulation: 1
42,4,PO,different verb,PO,simulation: 1
3,12,DO,different verb,DO,simulation: 1
53,25,DO,different verb,PO,simulation: 1
32,13,PO,same verb,PO,simulation: 1
